iter	Passed	Remaining
408	4900	7081
409	4912	7068
410	4924	7056
411	4934	7042
412	4945	7028
413	4956	7015
414	4967	7002
415	4977	6987
416	4988	6973
417	4999	6961
418	5010	6948
419	5022	6935
420	5033	6923
421	5045	6910
422	5056	6897
423	5067	6884
424	5078	6871
425	5090	6858
426	5101	6845
427	5112	6832
428	5123	6819
429	5134	6806
430	5144	6791
431	5155	6778
432	5166	6765
433	5177	6751
434	5188	6739
435	5199	6726
436	5210	6712
437	5221	6699
438	5231	6685
439	5241	6671
440	5253	6659
441	5265	6647
442	5275	6633
443	5285	6619
444	5295	6604
445	5306	6591
446	5317	6578
447	5328	6564
448	5337	6550
449	5348	6537
450	5359	6524
451	5370	6510
452	5380	6496
453	5390	6482
454	5400	6469
455	5411	6456
456	5421	6441
457	5431	6427
458	5442	6414
459	5452	6400
460	5462	6386
461	5472	6373
462	5483	6360
463	5494	6346
464	5504	6332
465	5514	6319
466	5524	6305
467	5534	6291
468	5545	6278
469	5555	6265
470	5566	6252
471	5577	6238
472	5587	6224
473	5597	6211
474	5607	6197
475	5618	6184
476	5628	6171
477	5638	6157
478	5648	6143
479	5658	6130
480	5669	6117
481	5679	6103
482	5689	6090
483	5700	6077
484	5711	6064
485	5721	6051
486	5732	6038
487	5744	6026
488	5754	6013
489	5765	6000
490	5775	5987
491	5785	5973
492	5795	5959
493	5805	5946
494	5816	5933
495	5827	5921
496	5837	5908
497	5847	5894
498	5859	5882
499	5869	5869
500	5879	5856
501	5891	5844
502	5903	5833
503	5916	5822
504	5929	5811
505	5943	5802
506	5958	5793
507	5970	5782
508	5983	5772
509	5997	5762
510	6009	5750
511	6022	5739
512	6035	5729
513	6048	5719
514	6062	5709
515	6076	5699
516	6089	5689
517	6101	5677
518	6114	5666
519	6127	5656
520	6141	5646
521	6155	5636
522	6168	5625
523	6181	5614
524	6194	5604
525	6208	5595
526	6222	5584
527	6236	5575
528	6248	5563
529	6261	5552
530	6274	5541
531	6288	5531
532	6303	5522
533	6316	5512
534	6327	5499
535	6338	5487
536	6350	5475
537	6362	5464
538	6374	5452
539	6386	5440
540	6397	5427
541	6408	5415
542	6420	5403
543	6432	5391
544	6444	5379
545	6455	5367
546	6466	5355
547	6477	5342
548	6490	5331
549	6500	5318
550	6512	5306
551	6523	5294
552	6535	5282
553	6546	5270
554	6557	5257
555	6568	5245
556	6579	5232
557	6589	5219
558	6599	5206
559	6610	5193
560	6622	5182
561	6632	5169
562	6642	5155
563	6652	5142
564	6663	5130
565	6673	5117
566	6684	5104
567	6695	5092
568	6705	5079
569	6715	5066
570	6726	5053
571	6737	5041
572	6747	5028
573	6757	5015
574	6767	5002
575	6778	4989
576	6789	4977
577	6799	4964
578	6809	4951
579	6820	4939
580	6831	4926
581	6842	4914
582	6853	4901
583	6863	4888
584	6873	4876
585	6884	4863
586	6894	4850
587	6905	4838
588	6916	4826
589	6928	4814
590	6939	4802
591	6949	4789
592	6960	4776
593	6970	4764
594	6981	4751
595	6991	4739
596	7001	4726
597	7012	4713
598	7022	4701
599	7032	4688
600	7044	4676
601	7055	4664
602	7067	4653
603	7080	4642
604	7093	4631
605	7106	4620
606	7120	4610
607	7134	4599
608	7145	4587
609	7159	4577
610	7171	4566
611	7185	4555
612	7198	4544
613	7211	4533
614	7224	4522
615	7236	4511
616	7247	4498
617	7258	4486
618	7269	4474
619	7279	4461
620	7290	4449
621	7302	4438
622	7313	4425
623	7324	4413
624	7335	4401
625	7345	4388
626	7355	4375
627	7366	4363
628	7377	4351
629	7388	4339
630	7399	4327
631	7409	4314
632	7419	4301
633	7429	4289
634	7440	4276
635	7450	4264
636	7462	4252
637	7472	4239
638	7483	4227
639	7494	4215
640	7504	4203
641	7515	4190
642	7525	4178
643	7536	4165
644	7546	4153
645	7557	4141
646	7568	4129
647	7579	4117
648	7590	4104
649	7601	4092
650	7612	4080
651	7622	4068
652	7632	4055
653	7642	4043
654	7653	4030
655	7663	4018
656	7674	4006
657	7684	3994
658	7694	3981
659	7704	3969
660	7715	3957
661	7727	3945
662	7737	3932
663	7747	3920
