Ia,Ib,Ic,Va,Vb,Vc,F,A,B,C,G,L,Rf
-0.201621469390399,-0.46811998659449,0.669741455984862,0.0742540266751647,-0.835544011288899,0.761289984613792,0,1,0,0,1,10,0.01
0.0112536504497159,-0.600669248362783,0.589415597913043,0.355512610073222,-0.917224279770513,0.561711669697287,0,1,0,0,1,10,0.01
0.223027145480265,-0.674420838617077,0.45139369313679,0.601971091142901,-0.909120336517813,0.307149245374814,0,1,0,0,1,10,0.01
0.412969170403983,-0.682155425799234,0.269186255395228,0.789504454898617,-0.812025337694597,0.0225208827959084,0,1,0,0,1,10,0.01
0.562486885777961,-0.623115891081636,0.0606290053036561,0.899755620953655,-0.635443641008718,-0.264311979944922,0,1,0,0,1,10,0.01
0.656944460394392,-0.50308143416836,-0.153863026226047,0.921932434059331,-0.396660299330138,-0.525272134729227,0,1,0,0,1,10,0.01
0.687095731385616,-0.333801862621145,-0.353293868764487,0.853864076874919,-0.119049083019664,-0.734814993855254,0,1,0,0,1,10,0.01
0.649989283662491,-0.131847439688542,-0.51814184397396,0.702213555131398,0.170215488358519,-0.87242904348987,0,1,0,0,1,10,0.01
0.549257355521206,0.0830131288140341,-0.632270484335247,0.481825477137209,0.442818180159874,-0.924643657297047,0,1,0,0,1,10,0.01
0.394760290280375,0.289747793567468,-0.684508083847847,0.214272964462583,0.672074743634397,-0.886347708097033,0,1,0,0,1,10,0.01
0.20162133733336,0.468119925292508,-0.669741262625865,-0.0742540788397078,0.835543948761778,-0.761289869921958,0,1,0,0,1,10,0.01
-0.0112537168290569,0.600669216981529,-0.589415500152462,-0.355512615620771,0.917224290474123,-0.561711674853355,0,1,0,0,1,10,0.01
-0.223027178671582,0.674420820451841,-0.451393641780246,-0.60197110059762,0.909120327963221,-0.307149227365676,0,1,0,0,1,10,0.01
-0.412969186208615,0.682155414914139,-0.269186228705507,-0.789504460062688,0.812025333567108,-0.0225208735044104,0,1,0,0,1,10,0.01
-0.562486892324112,0.62311588437994,-0.0606289920558053,-0.899755622183526,0.635443641799989,0.26431198038358,0,1,0,0,1,10,0.01
-0.656944462186336,0.503081429452001,0.153863032734358,-0.921932435043756,0.396660298977681,0.525272136066106,0,1,0,0,1,10,0.01
-0.687095730729162,0.333801858910082,0.3532938718191,-0.853864077682156,0.119049082402671,0.734814995279465,0,1,0,0,1,10,0.01
-0.649989281709546,0.131847436560545,0.518141845149022,-0.702213555177163,-0.170215487816969,0.872429042994037,0,1,0,0,1,10,0.01
-0.549257352892812,-0.0830131316373455,0.632270484530175,-0.481825477283936,-0.442818180125526,0.924643657409454,0,1,0,0,1,10,0.01
-0.394760287312055,-0.289747796246305,0.684508083558375,-0.214272964600162,-0.672074743664138,0.88634770826431,0,1,0,0,1,10,0.01
-0.201621334190756,-0.468119927888807,0.669741262079573,0.0742540787850265,-0.835543948668754,0.761289869883773,0,1,0,0,1,10,0.01
0.0112537200611136,-0.600669219527617,0.589415499466508,0.355512615578759,-0.917224290397175,0.561711674818351,0,1,0,0,1,10,0.01
0.223027181945329,-0.674420822971598,0.451393641026269,0.601971100556336,-0.90912032790043,0.307149227344044,0,1,0,0,1,10,0.01
0.412969189499838,-0.682155417417693,0.269186227917853,0.789504460030977,-0.812025333491265,0.022520873460283,0,1,0,0,1,10,0.01
0.562486895621046,-0.623115886871125,0.060628991250073,0.899755622155456,-0.635443641723122,-0.264311980432294,0,1,0,0,1,10,0.01
