Ia,Ib,Ic,Va,Vb,Vc,F,A,B,C,G,L,Rf
0.256078119797626,0.424218647822188,-0.680296767619785,0.00343026284622732,0.799281824219232,-0.802712087065525,0,1,0,0,1,0.1,0.01
0.0464869924280361,0.57051545190503,-0.617002444333039,-0.282551056455294,0.903986792711061,-0.621435736255737,0,1,0,0,1,0.1,0.01
-0.167654562899206,0.660966243353208,-0.493311680453981,-0.54087424748715,0.920203317225565,-0.379329069738386,0,1,0,0,1,0.1,0.01
-0.36538490070884,0.686717059002742,-0.321332158293878,-0.746252908488074,0.846343908689832,-0.100091000201734,0,1,0,0,1,0.1,0.01
-0.527348807992779,0.645247227149227,-0.117898419156428,-0.878583134473135,0.689638461373032,0.188944673100145,0,1,0,0,1,0.1,0.01
-0.637692133891429,0.540616103071762,0.0970760308196857,-0.924911517251554,0.465426401768451,0.459485115483097,0,1,0,0,1,0.1,0.01
-0.685613707775428,0.383065709124113,0.302547998651332,-0.880703116394517,0.195655162331493,0.685047954062947,0,1,0,0,1,0.1,0.01
-0.666422633621547,0.188018175098414,0.478404458523145,-0.750285358946004,-0.09326816884233,0.843553527788373,0,1,0,0,1,0.1,0.01
-0.581997468186247,-0.0254338875250983,0.607431355711356,-0.546424441958005,-0.373061760365051,0.919486202323086,0,1,0,0,1,0.1,0.01
-0.440602335268695,-0.23639630375463,0.676998639023329,-0.289075693572833,-0.616337467919585,0.905413161492328,0,1,0,0,1,0.1,0.01
-0.256077975859905,-0.42421860251444,0.680296578374342,-0.00343020227352584,-0.799281770002945,0.802711972276434,0,1,0,0,1,0.1,0.01
-0.0464869200217694,-0.570515428592896,0.617002348614659,0.282551061214274,-0.903986803395837,0.621435742181538,0,1,0,0,1,0.1,0.01
0.167654599344018,-0.660966229351414,0.493311630007384,0.540874258196346,-0.920203310032827,0.379329051836467,0,1,0,0,1,0.1,0.01
0.365384918279448,-0.686717050216425,0.32133213193696,0.746252914284527,-0.846343905277814,0.10009099099327,0,1,0,0,1,0.1,0.01
0.527348815483055,-0.645247221430909,0.117898405947834,0.878583135681559,-0.68963846224241,-0.18894467343923,0,1,0,0,1,0.1,0.01
0.63769213622127,-0.540616098774498,-0.0970760374467943,0.924911518314388,-0.465426401529796,-0.459485116784618,0,1,0,0,1,0.1,0.01
0.685613707449325,-0.383065705542436,-0.302548001906911,0.880703117297847,-0.195655161824932,-0.685047955472893,0,1,0,0,1,0.1,0.01
