Ia,Ib,Ic,Va,Vb,Vc,F,A,B,C,G,L,Rf
-0.442890155523278,-0.233595096000696,0.676485251523925,-0.292889943627384,-0.613335537381868,0.90622548100938,0,0,0,0,0,1,0.01
-0.258845149734104,-0.42187104101754,0.680716190751594,-0.0074483666421646,-0.797252128388745,0.804700495030969,0,0,0,0,0,1,0.01
-0.0494626071462399,-0.568851303828163,0.618313910974368,0.278722233145898,-0.903128156554764,0.624405923409109,0,0,0,0,0,1,0.01
0.164761660774475,-0.660148436853648,0.495386776079165,0.537609538577528,-0.920599716633671,0.382990178056244,0,0,0,0,0,1,0.01
0.362857900137701,-0.68682564067261,0.323967740534916,0.743871892210128,-0.847956553752473,0.104084661542301,0,0,0,0,0,1,0.01
0.525435076192332,-0.646271564577639,0.120836488385327,0.877318881288882,-0.692309494898539,-0.185009386390189,0,0,0,0,0,1,0.01
0.636579003595042,-0.542455924790991,-0.0941230788040272,0.924887780368349,-0.46889436148441,-0.455993418883819,0,0,0,0,0,1,0.01
0.685410141463779,-0.385540919631721,-0.299869221832032,0.881922220941871,-0.199580580224589,-0.682341640717353,0,0,0,0,0,1,0.01
0.667148558663878,-0.190886483028003,-0.476262075635853,0.752627970328113,0.0892695392087259,-0.841897509536827,0,0,0,0,0,1,0.01
0.583581826413544,0.0224532524637072,-0.606035078877238,0.549661249389911,0.369381333833643,-0.919042583223599,0,0,0,0,0,1,0.01
0.44289003881774,0.233595107058892,-0.676485145876629,0.292889855612874,0.613335509855607,-0.906225365468578,0,0,0,0,0,1,0.01
0.258845088425491,0.421871044926386,-0.680716133351885,0.0074483622570962,0.797252132916542,-0.804700495173759,0,0,0,0,0,1,0.01
0.0494625773479086,0.568851305470566,-0.618313882818494,-0.278722228744135,0.90312816240537,-0.62440593366129,0,0,0,0,0,1,0.01
-0.164761675365317,0.660148436709238,-0.495386761343955,-0.537609546068651,0.920599714871172,-0.382990168802628,0,0,0,0,0,1,0.01
-0.362857907256516,0.686825639331955,-0.323967732075483,-0.743871895253238,0.847956553063922,-0.10408465781085,0,0,0,0,0,1,0.01
-0.525435078921627,0.646271562876043,-0.120836483954466,-0.87731888046354,0.692309495785844,0.185009384677556,0,0,0,0,0,1,0.01
-0.636579004054561,0.542455922901076,0.0941230811534336,-0.924887781021337,0.468894361452206,0.455993419569124,0,0,0,0,0,1,0.01
-0.685410140876911,0.385540917573735,0.299869223303126,-0.881922221497162,0.199580580041584,0.682341641455567,0,0,0,0,0,1,0.01
-0.667148557488781,0.190886480907009,0.476262076581727,-0.752627970215004,-0.089269539101603,0.841897509316608,0,0,0,0,0,1,0.01
-0.583581824907914,-0.0224532546007617,0.606035079508641,-0.549661249339508,-0.36938133378018,0.919042583119713,0,0,0,0,0,1,0.01
-0.442890037163103,-0.233595109212573,0.676485146375653,-0.292889855661479,-0.613335509877014,0.906225365538515,0,0,0,0,0,1,0.01
-0.258845086696176,-0.421871047086945,0.680716133783112,-0.0074483622248386,-0.797252132906682,0.804700495131623,0,0,0,0,0,1,0.01
-0.0494625755755398,-0.568851307628871,0.618313883204415,0.278722228804542,-0.903128162384843,0.624405933580433,0,0,0,0,0,1,0.01
0.16476167715637,-0.660148438864566,0.495386761708213,0.537609546108909,-0.920599714864517,0.38299016875573,0,0,0,0,0,1,0.01
0.362857909053813,-0.686825641483903,0.323967732430115,0.743871895296634,-0.847956553057431,0.104084657760935,0,0,0,0,0,1,0.01
0.52543508072085,-0.646271565023233,0.120836484302416,0.877318880514862,-0.692309495776014,-0.185009384738799,0,0,0,0,0,1,0.01
0.636579005852728,-0.542455925043132,-0.0941230808095596,0.92488778107062,-0.468894361443703,-0.455993419626919,0,0,0,0,0,1,0.01
0.68541014267205,-0.385540919710688,-0.299869222961327,0.881922221545557,-0.199580580033748,-0.682341641511732,0,0,0,0,0,1,0.01
0.667148559280181,-0.190886483038708,-0.476262076241443,0.752627970264478,0.0892695391099517,-0.841897509374445,0,0,0,0,0,1,0.01
0.583581826695221,0.0224532524744034,-0.606035079169605,0.54966124938896,0.369381333788536,-0.9190425831775,0,0,0,0,0,1,0.01
0.442890038946026,0.23359510709154,-0.676485146037555,0.292889855710433,0.613335509885214,-0.906225365595673,0,0,0,0,0,1,0.01
0.258845088474585,0.421871044971222,-0.680716133445812,0.0074483622737384,0.797252132914893,-0.804700495188693,0,0,0,0,0,1,0.01
0.0494625773493976,0.568851305518442,-0.618313882867858,-0.278722228755768,0.903128162393013,-0.624405933637371,0,0,0,0,0,1,0.01
-0.164761675387092,0.660148436759401,-0.495386761372339,-0.537609546060345,0.92059971487255,-0.382990168812321,0,0,0,0,0,1,0.01
-0.362857907289118,0.686825639383962,-0.323967732094883,-0.743871895248211,0.84795655306532,-0.104084657817257,0,0,0,0,0,1,0.01
-0.525435078960718,0.646271562928478,-0.120836483967804,-0.877318880466584,0.692309495783727,0.185009384682775,0,0,0,0,0,1,0.01
-0.636579004097129,0.542455922953522,0.0941230811435565,-0.924887781022472,0.468894361451217,0.45599341957117,0,0,0,0,0,1,0.01
-0.685410140920949,0.385540917626188,0.299869223294714,-0.88192222149741,0.199580580041038,0.682341641456287,0,0,0,0,0,1,0.01
