Ia,Ib,Ic,Va,Vb,Vc,F,A,B,C,G,L,Rf
-0.122025544564349,0.646677269389399,-0.524651724825046,-0.488690925440812,0.924412248058087,-0.435721322617372,0,1,0,0,1,10,0.01
-0.325031182553611,0.686859482817483,-0.361828300263864,-0.707435495461437,0.869717808214054,-0.16228231275258,0,1,0,0,1,10,0.01
-0.496220489764276,0.65980714776876,-0.163586658004475,-0.856931366751768,0.729889462125807,0.127041904626013,0,1,0,0,1,10,0.01
-0.618836270105736,0.568168310847631,0.0506679592581173,-0.92254481772603,0.518614419880052,0.403930397845968,0,1,0,0,1,10,0.01
-0.680876040648243,0.420913210853663,0.259962829794589,-0.897853153609764,0.256573785158938,0.64127936845084,0,1,0,0,1,10,0.01
-0.676266918525809,0.232456199058495,0.443810719467321,-0.785273367902379,-0.0305820703905087,0.815855438292898,0,1,0,0,1,10,0.01
-0.6054600776389,0.0212447577988515,0.584215319840055,-0.59582555307746,-0.314744340693087,0.910569893770572,0,1,0,0,1,10,0.01
-0.475386585435646,-0.192046266949987,0.667432852385635,-0.348054181353537,-0.568097243810243,0.916151425163731,0,1,0,0,1,10,0.01
-0.298778941912201,-0.386538464178783,0.685317406090983,-0.0662128416381491,-0.765840828216076,0.83205366985416,0,1,0,0,1,10,0.01
-0.092924733855692,-0.543193582872233,0.636118316727919,0.222109872522662,-0.888618576991642,0.666508704469048,0,1,0,0,1,10,0.01
0.122025594511139,-0.646677128768914,0.524651534257765,0.488690924887267,-0.924412148321494,0.435721223434269,0,1,0,0,1,10,0.01
0.325031207359292,-0.686859411479215,0.361828204119907,0.707435504589777,-0.869717817622691,0.162282313032871,0,1,0,0,1,10,0.01
0.496220500858022,-0.65980710924452,0.163586608386478,0.856931368122349,-0.729889447253443,-0.127041920868959,0,1,0,0,1,10,0.01
0.618836274204745,-0.568168289925307,-0.0506679842794573,0.922544818763152,-0.518614412385427,-0.403930406377735,0,1,0,0,1,10,0.01
0.680876041184894,-0.42091319965817,-0.259962841526746,0.897853154796149,-0.256573785420429,-0.641279369375685,0,1,0,0,1,10,0.01
0.676266917146995,-0.2324561926699,-0.443810724477116,0.785273368330057,0.0305820713182272,-0.815855439648246,0,1,0,0,1,10,0.01
0.605460075264551,-0.0212447538660194,-0.58421532139855,0.595825553254529,0.314744341832108,-0.910569895086606,0,1,0,0,1,10,0.01
0.475386582560997,0.192046269523916,-0.667432852084928,0.348054181668817,0.568097243209803,-0.916151424878585,0,1,0,0,1,10,0.01
0.298778938777391,0.386538466043688,-0.685317404821087,0.0662128417478898,0.765840828254166,-0.832053670001941,0,1,0,0,1,10,0.01
0.0929247305852633,0.543193584390533,-0.636118314975801,-0.222109872452545,0.888618577098774,-0.666508704646254,0,1,0,0,1,10,0.01
-0.122025597846624,0.646677130099745,-0.524651532253123,-0.488690924803906,0.924412148243236,-0.435721223439372,0,1,0,0,1,10,0.01
-0.32503121072401,0.686859412704776,-0.36182820198076,-0.707435504522818,0.869717817556137,-0.162282313033234,0,1,0,0,1,10,0.01
-0.496220504234816,0.659807110417636,-0.163586606182814,-0.856931368063392,0.729889447202789,0.127041920860611,0,1,0,0,1,10,0.01
-0.618836277583867,0.568168291070484,0.0506679865133898,-0.922544818703205,0.518614412314751,0.403930406388474,0,1,0,0,1,10,0.01
-0.680876044561028,0.420913200786056,0.259962843774978,-0.897853154737885,0.256573785346686,0.641279369391264,0,1,0,0,1,10,0.01
-0.676266920517703,0.232456193787804,0.443810726729908,-0.785273368273369,-0.0305820713893139,0.815855439662709,0,1,0,0,1,10,0.01
-0.605460078628509,0.0212447549777579,0.584215323650756,-0.595825553198268,-0.314744341903493,0.910569895101714,0,1,0,0,1,10,0.01
-0.475386585917426,-0.19204626841686,0.667432854334288,-0.348054181612683,-0.568097243282916,0.916151424895529,0,1,0,0,1,10,0.01
-0.298778942125934,-0.386538464940365,0.685317407066295,-0.0662128416920169,-0.765840828327066,0.832053670019087,0,1,0,0,1,10,0.01
-0.0929247339257483,-0.543193583290343,0.636118317216083,0.222109872508087,-0.888618577171251,0.6665087046632,0,1,0,0,1,10,0.01
